epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.350311,0.104137,11.8951
2,0.10443,0.088371,12.0109
3,0.096467,0.084905,12.4011
4,0.091755,0.081656,12.3804
5,0.089819,0.082777,12.1254
6,0.088371,0.081743,12.2971
7,0.087893,0.079039,12.2776
8,0.087031,0.079056,12.0306
9,0.086827,0.080322,12.2311
10,0.086728,0.077644,12.0769
11,0.086025,0.079059,12.1411
12,0.085782,0.082506,12.2172
13,0.086335,0.075959,12.3382
14,0.085134,0.078001,12.455
15,0.085278,0.076438,12.4992
16,0.08501,0.077948,12.4457
17,0.084603,0.076908,12.5153
18,0.084569,0.075412,12.3234
19,0.08426,0.075203,12.3904
20,0.084343,0.074677,12.2153
21,0.084027,0.075031,12.464
22,0.083944,0.074432,12.3738
23,0.083973,0.078157,12.4251
24,0.083668,0.075831,12.4804
25,0.083662,0.073634,12.4805
26,0.083356,0.074289,12.3881
27,0.08437,0.073506,12.3159
28,0.083105,0.074213,12.4276
29,0.083125,0.074507,12.3814
30,0.083073,0.073613,12.3497
31,0.083071,0.075299,12.2424
32,0.082975,0.076145,12.3363
33,0.082878,0.074973,12.53
34,0.082789,0.074696,12.494
35,0.082635,0.073902,12.4006
36,0.082744,0.074982,12.5063
37,0.082696,0.074876,12.1574
38,0.082168,0.075432,12.3841
39,0.082904,0.073752,12.1712
40,0.082918,0.073359,12.3086
