epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.222396,0.097947,31.0936
2,0.096093,0.083846,30.4945
3,0.090395,0.081054,30.4643
4,0.088745,0.080027,30.3695
5,0.088113,0.077381,30.6818
6,0.087301,0.078216,30.5972
7,0.086449,0.076884,32.4594
8,0.085799,0.077149,64.1915
9,0.08604,0.080848,17.0537
10,0.085144,0.074969,17.1922
11,0.085252,0.075818,16.5418
12,0.084829,0.077087,16.2401
13,0.085207,0.077904,16.4852
14,0.08471,0.075811,16.4666
15,0.08435,0.077193,16.4258
16,0.084581,0.078038,16.7086
17,0.083651,0.075291,16.865
18,0.083933,0.074036,16.6851
19,0.083438,0.075949,16.6698
20,0.083277,0.073855,16.4052
21,0.083058,0.076181,16.5874
22,0.084269,0.073541,16.64
23,0.083201,0.074306,16.9902
24,0.083226,0.074944,17.0669
25,0.082919,0.077059,16.9205
26,0.083023,0.075064,17.1879
27,0.08327,0.074538,16.962
28,0.083059,0.076096,16.6295
29,0.082899,0.073264,16.6202
30,0.082749,0.079566,17.0966
31,0.0833,0.073533,17.373
32,0.082285,0.074607,16.8934
33,0.082611,0.073864,17.0564
34,0.082417,0.075285,17.0277
35,0.083097,0.073691,17.2129
36,0.082471,0.078594,17.1
37,0.082006,0.073317,17.2754
38,0.082466,0.073484,17.4182
39,0.082286,0.07417,17.1077
40,0.082283,0.075563,16.9603
