epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.300204,0.101242,22.0358
2,0.096815,0.083331,21.9832
3,0.091207,0.079807,22.2203
4,0.088873,0.079631,22.0021
5,0.087943,0.078645,21.975
6,0.086694,0.077659,21.8864
7,0.086043,0.080079,21.7575
8,0.085903,0.076977,21.9226
9,0.08592,0.075544,21.7841
10,0.085383,0.078341,21.4328
11,0.085226,0.081711,22.2264
12,0.084577,0.075847,22.3715
13,0.084783,0.075923,22.786
14,0.084235,0.077423,22.793
15,0.084299,0.078738,22.5479
16,0.084466,0.073959,21.9021
17,0.083826,0.075327,21.9544
18,0.083713,0.073994,22.5318
19,0.084116,0.074263,22.0276
20,0.083112,0.073977,21.7987
21,0.083725,0.077953,22.4669
22,0.083324,0.074482,21.8048
23,0.083245,0.073831,22.2619
24,0.083732,0.076103,22.6252
25,0.0832,0.075629,22.2529
26,0.083531,0.074855,22.1017
27,0.082902,0.076503,22.7193
28,0.082891,0.074508,22.2981
29,0.082633,0.073297,22.1594
30,0.082944,0.076311,22.0692
31,0.082936,0.073954,23.4692
32,0.082907,0.076708,23.113
33,0.082976,0.074624,23.0379
34,0.082498,0.074698,23.1417
35,0.082707,0.074196,22.7255
36,0.08243,0.073424,23.1798
37,0.082424,0.073931,22.422
38,0.082263,0.076336,21.8668
39,0.082165,0.074559,22.4717
40,0.08223,0.073281,22.8654
