epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.31087,0.108014,14.8496
2,0.102572,0.09179,15.1626
3,0.094747,0.084762,15.0097
4,0.091295,0.083752,15.0393
5,0.089251,0.080211,14.996
6,0.088018,0.081716,14.8684
7,0.087262,0.080178,14.8654
8,0.086595,0.078198,14.8242
9,0.086128,0.077013,14.9673
10,0.08528,0.077937,15.1583
11,0.08495,0.076301,15.1544
12,0.084955,0.081362,15.0849
13,0.084542,0.075413,14.9726
14,0.084887,0.075926,14.7963
15,0.084085,0.074137,14.9468
16,0.084075,0.075138,14.812
17,0.084067,0.074524,14.9692
18,0.083839,0.077356,15.1132
19,0.083686,0.076969,15.0819
20,0.083685,0.075779,15.1211
21,0.083526,0.073826,14.9335
22,0.083212,0.075651,15.0069
23,0.083198,0.075506,14.8801
24,0.083474,0.076432,14.7896
25,0.083207,0.075085,15.0434
26,0.08303,0.074363,15.3893
27,0.083166,0.075231,15.1367
28,0.083465,0.082451,15.1528
29,0.083763,0.074926,15.1251
30,0.083199,0.073724,15.1372
31,0.082866,0.074746,14.777
32,0.082614,0.073122,14.869
33,0.082626,0.073471,15.0153
34,0.082697,0.075076,15.0579
35,0.082483,0.073226,15.0742
36,0.082388,0.075549,15.0148
37,0.082529,0.07486,15.0197
38,0.082167,0.074342,14.671
39,0.082698,0.074033,14.8987
40,0.082201,0.073754,14.8581
