epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.310357,0.099183,13.4636
2,0.101729,0.086593,13.0301
3,0.094954,0.084348,12.9262
4,0.091642,0.081751,12.5699
5,0.089879,0.080664,12.756
6,0.088418,0.078818,12.9692
7,0.087831,0.07888,12.9774
8,0.087232,0.078309,12.7525
9,0.087622,0.077516,12.7979
10,0.086645,0.08351,12.8539
11,0.086471,0.076185,12.7561
12,0.08587,0.076468,12.7448
13,0.08543,0.075369,13.111
14,0.085415,0.076166,12.9778
15,0.084669,0.076485,13.2004
16,0.085318,0.076494,12.9395
17,0.084321,0.074289,12.9971
18,0.084495,0.076084,12.9552
19,0.084379,0.076738,12.6344
20,0.084544,0.074663,12.578
21,0.084113,0.07459,12.7636
22,0.084268,0.074134,12.8866
23,0.084053,0.074932,13.0927
24,0.083481,0.076516,12.6855
25,0.083711,0.075069,12.7675
26,0.083493,0.074457,12.7492
27,0.083643,0.073478,12.7168
28,0.083272,0.07499,12.8852
29,0.083911,0.074601,12.1987
30,0.083246,0.073909,11.8409
31,0.083162,0.076755,11.9715
32,0.083478,0.074575,11.8309
33,0.083677,0.07373,12.5171
34,0.083102,0.07682,12.6426
35,0.08354,0.081364,12.5182
36,0.082907,0.07449,25.3799
37,0.083271,0.075108,27.5405
38,0.082723,0.075147,27.5242
39,0.082764,0.076099,27.8783
40,0.083155,0.072999,27.2594
