epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.258579,0.099317,37.4082
2,0.099699,0.087491,37.9727
3,0.093086,0.083985,37.1826
4,0.090562,0.082107,38.432
5,0.088739,0.080806,38.2675
6,0.088047,0.081806,38.2927
7,0.087288,0.082052,37.9069
8,0.086908,0.081623,38.0947
9,0.086235,0.078262,38.9014
10,0.086094,0.077908,38.0437
11,0.085866,0.078833,37.4292
12,0.085335,0.080633,37.4817
13,0.085353,0.075852,24.6998
14,0.084741,0.077708,18.1476
15,0.084779,0.076795,17.6054
16,0.08538,0.0755,16.945
17,0.084485,0.076574,9.9769
18,0.084321,0.076643,9.5198
19,0.0847,0.075467,9.4624
20,0.084135,0.076481,9.7159
21,0.08426,0.074768,9.7257
22,0.083832,0.075904,9.5
23,0.083719,0.074489,9.6492
24,0.084155,0.080013,10.3264
25,0.084021,0.076461,9.4816
26,0.083576,0.076042,9.421
27,0.083466,0.074789,9.4478
28,0.0836,0.0748,9.4397
29,0.083633,0.075657,9.504
30,0.083691,0.075499,9.5168
31,0.08389,0.075844,9.502
32,0.0835,0.077091,9.5619
33,0.083264,0.074235,9.5956
34,0.083122,0.07488,9.5777
35,0.082987,0.076157,9.4594
36,0.082857,0.07741,9.5247
37,0.083005,0.077218,9.5355
38,0.083147,0.080108,9.4443
39,0.08287,0.074243,9.6359
40,0.082827,0.07564,9.446
