epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.32563,0.173404,10.5678
2,0.186432,0.160808,10.7552
3,0.1735,0.151731,10.5851
4,0.163529,0.147289,9.9601
5,0.156679,0.149184,10.6947
6,0.154222,0.14448,9.8003
7,0.150491,0.143275,10.329
8,0.14769,0.145956,8.6622
9,0.146628,0.150052,8.9769
10,0.145592,0.146295,8.9017
11,0.144569,0.141802,8.6857
12,0.144065,0.146242,9.2188
13,0.144602,0.141097,8.7933
14,0.142474,0.143254,8.7976
15,0.141708,0.155161,8.8427
16,0.14114,0.146904,9.1173
17,0.141041,0.149232,8.7508
18,0.140115,0.14575,8.8296
19,0.138485,0.14639,9.0398
20,0.139478,0.15242,8.9341
21,0.13681,0.152711,10.6913
22,0.135759,0.16132,10.2724
23,0.13538,0.165858,10.4035
24,0.134099,0.158182,10.7997
25,0.133886,0.157045,11.1606
26,0.132201,0.18123,10.7482
27,0.130315,0.170332,10.9765
28,0.128462,0.173769,10.8189
29,0.127635,0.17999,10.5401
30,0.126597,0.194727,11.1272
31,0.125995,0.199357,10.5343
32,0.124265,0.208097,9.1885
33,0.124558,0.196251,8.9352
34,0.121065,0.205371,8.9544
35,0.120677,0.188955,8.8485
36,0.119706,0.210537,8.7415
37,0.119307,0.206601,8.691
38,0.117712,0.190287,8.5999
39,0.116421,0.21854,8.8787
40,0.115644,0.201869,9.389
