epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.313225,0.176921,13.1944
2,0.188902,0.167079,12.9423
3,0.179226,0.156556,12.7913
4,0.169635,0.15066,12.7928
5,0.162172,0.149576,12.8902
6,0.157099,0.151291,13.0355
7,0.152424,0.146965,13.0396
8,0.149964,0.142193,13.0437
9,0.147652,0.142734,13.1792
10,0.145749,0.142855,12.9877
11,0.146104,0.139423,13.589
12,0.143367,0.141435,13.3023
13,0.143776,0.140876,13.2757
14,0.142315,0.14355,13.3418
15,0.141475,0.14562,12.7175
16,0.142501,0.141201,13.391
17,0.141076,0.140689,12.696
18,0.140172,0.14229,12.887
19,0.139886,0.143625,20.0431
20,0.140325,0.14555,65.386
21,0.138616,0.146666,62.9961
22,0.138646,0.153093,63.2012
23,0.138946,0.148253,63.2941
24,0.138552,0.15031,65.3194
25,0.137104,0.150971,62.5862
26,0.136238,0.158759,64.1043
27,0.135178,0.158868,63.5947
28,0.136096,0.164123,63.3706
29,0.134446,0.162678,65.1825
30,0.132745,0.165551,64.4432
31,0.132276,0.168488,65.1891
32,0.13243,0.180521,64.3634
33,0.132505,0.180559,65.669
34,0.129662,0.183627,63.2694
35,0.127846,0.187033,64.2421
36,0.127803,0.193213,62.7946
37,0.125842,0.212034,63.6872
38,0.125666,0.199444,63.2896
39,0.124932,0.207257,64.6919
40,0.125755,0.204875,63.0428
