epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.327972,0.177747,82.0776
2,0.190625,0.163163,83.9388
3,0.17577,0.155486,82.7588
4,0.166524,0.146719,81.399
5,0.160091,0.149132,74.8258
6,0.155007,0.143898,66.963
7,0.150919,0.142723,69.7227
8,0.150378,0.14144,72.0337
9,0.147827,0.143348,69.6963
10,0.148156,0.144739,58.0252
11,0.146038,0.143925,14.6324
12,0.144292,0.141317,14.4997
13,0.143314,0.144199,13.9448
14,0.142537,0.148128,14.3289
15,0.141881,0.152873,14.0438
16,0.140748,0.150285,14.3875
17,0.140522,0.151994,14.5676
18,0.13872,0.152645,14.2103
19,0.137805,0.152784,14.7138
20,0.139732,0.152496,14.1625
21,0.139395,0.163037,14.3954
22,0.137517,0.165671,14.3751
23,0.136271,0.161122,13.9439
24,0.134608,0.170422,13.8705
25,0.134071,0.171144,14.1518
26,0.132733,0.184341,14.6203
27,0.130304,0.175992,14.411
28,0.130893,0.173059,14.1976
29,0.130329,0.182078,14.6012
30,0.1278,0.189015,14.4934
31,0.127022,0.181777,14.1562
32,0.125616,0.194736,13.8217
33,0.124969,0.212097,14.3839
34,0.124705,0.214713,13.6052
35,0.124775,0.215148,13.8168
36,0.122685,0.197192,14.5878
37,0.121523,0.208501,12.8486
38,0.120401,0.215463,13.6211
39,0.119445,0.20574,14.375
40,0.119842,0.227502,14.0578
