epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.339087,0.18251,10.9978
2,0.186911,0.160359,11.9557
3,0.174846,0.158503,12.2961
4,0.166197,0.159246,11.3115
5,0.158612,0.161846,11.1821
6,0.156262,0.149619,11.4561
7,0.151188,0.150269,11.7181
8,0.150444,0.14605,11.8778
9,0.146415,0.145453,11.9135
10,0.147249,0.145692,12.6647
11,0.144123,0.145771,11.805
12,0.142578,0.148727,12.1579
13,0.142056,0.15168,11.6494
14,0.141773,0.149314,12.1057
15,0.139929,0.150496,11.6715
16,0.141105,0.150894,11.8917
17,0.138325,0.151186,12.0329
18,0.137284,0.152602,11.6375
19,0.137153,0.154149,11.1198
20,0.136457,0.159856,11.2688
21,0.135555,0.159699,11.0848
22,0.134337,0.160211,11.6991
23,0.135587,0.159222,11.6878
24,0.133506,0.161425,10.9321
25,0.132692,0.16549,11.2726
26,0.130571,0.173092,11.834
27,0.129991,0.168633,11.5422
28,0.127836,0.184575,11.8516
29,0.126442,0.189681,12.2481
30,0.124513,0.180918,11.7661
31,0.123944,0.193503,11.9496
32,0.122826,0.184246,12.305
33,0.120068,0.204172,11.8408
34,0.118629,0.189517,11.9179
35,0.11856,0.193227,12.25
36,0.116866,0.199959,12.1861
37,0.116582,0.22277,12.5491
38,0.115071,0.201904,11.6733
39,0.115618,0.19938,11.3575
40,0.11587,0.221275,11.2759
