epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.363517,0.176253,12.0106
2,0.192692,0.165324,12.4939
3,0.179159,0.160916,12.1233
4,0.168244,0.152166,12.2708
5,0.160684,0.153423,12.0264
6,0.154345,0.150474,11.9501
7,0.150657,0.144463,12.5328
8,0.14984,0.143607,12.2106
9,0.146058,0.149497,12.6867
10,0.145381,0.14313,12.5521
11,0.143057,0.147269,12.5479
12,0.142091,0.148884,12.759
13,0.140236,0.151892,12.4698
14,0.140289,0.152639,12.6092
15,0.139532,0.151425,12.5999
16,0.137733,0.160049,12.5832
17,0.136929,0.157783,12.458
18,0.136191,0.164258,12.1408
19,0.134825,0.166114,12.7711
20,0.13363,0.166426,12.1781
21,0.13464,0.167998,12.1898
22,0.132612,0.174448,11.7446
23,0.130795,0.173884,12.473
24,0.130646,0.170587,12.3944
25,0.12832,0.17556,12.1911
26,0.12877,0.185687,12.1077
27,0.127384,0.18158,12.699
28,0.125544,0.185324,12.6621
29,0.124933,0.187112,13.1165
30,0.122778,0.199828,12.4587
31,0.122803,0.196251,12.6646
32,0.122171,0.19363,12.7409
33,0.121399,0.209206,12.3202
34,0.119144,0.220106,13.0426
35,0.11865,0.221483,12.476
36,0.117585,0.213796,12.4986
37,0.116594,0.223883,12.0542
38,0.115153,0.223328,12.0095
39,0.115451,0.212991,12.0846
40,0.114935,0.211496,12.2011
