epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.297913,0.174561,67.0569
2,0.192129,0.165284,67.5722
3,0.179773,0.156194,66.0593
4,0.170986,0.146262,67.3895
5,0.162433,0.157025,65.7818
6,0.156464,0.141633,68.1478
7,0.152561,0.136881,67.3064
8,0.150255,0.137029,68.0772
9,0.149961,0.137591,68.7968
10,0.146513,0.136044,66.6937
11,0.146315,0.136341,68.3791
12,0.145396,0.137055,66.6861
13,0.14427,0.140334,68.0635
14,0.143221,0.138429,65.5863
15,0.141623,0.142762,68.0149
16,0.142435,0.138,67.4594
17,0.141092,0.138274,67.749
18,0.140441,0.142624,68.9764
19,0.140074,0.145241,67.5917
20,0.141276,0.145802,67.352
21,0.138916,0.14923,66.0015
22,0.137866,0.151056,68.4851
23,0.137403,0.153862,66.2611
24,0.137197,0.157775,67.5445
25,0.135892,0.163898,67.8663
26,0.134643,0.175589,67.191
27,0.13579,0.167986,68.9886
28,0.134411,0.164828,65.9574
29,0.13369,0.172958,67.8003
30,0.136144,0.167201,65.7392
31,0.130937,0.185784,67.4219
32,0.129885,0.187657,65.8461
33,0.128839,0.186545,67.3156
34,0.127689,0.192039,75.5316
35,0.126734,0.200565,77.4885
36,0.125841,0.193446,77.991
37,0.123598,0.212621,76.99
38,0.121965,0.230851,79.0768
39,0.121205,0.203409,77.8683
40,0.120728,0.228447,76.5428
