epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.386124,0.209352,46.317
2,0.198172,0.198633,42.8077
3,0.187372,0.195719,42.8362
4,0.182613,0.190085,42.475
5,0.179784,0.189615,42.9314
6,0.176902,0.186199,42.8816
7,0.175161,0.177249,44.2574
8,0.173755,0.184987,43.9298
9,0.173045,0.190953,43.9339
10,0.171698,0.187554,43.8363
11,0.169726,0.179947,44.217
12,0.169198,0.182971,44.207
13,0.167738,0.183591,44.3372
14,0.166351,0.187055,44.5074
15,0.166537,0.196661,43.9896
16,0.165631,0.190962,44.4821
17,0.164716,0.181659,44.7279
18,0.165206,0.184543,44.2094
19,0.163923,0.177836,45.3024
20,0.163328,0.180737,44.3157
21,0.162926,0.174668,45.5649
22,0.163783,0.180789,44.7136
23,0.163034,0.188115,45.6909
24,0.162832,0.174228,44.1679
25,0.163379,0.179813,44.947
26,0.162642,0.191074,44.8945
27,0.162212,0.188628,45.0906
28,0.162033,0.193007,45.4184
29,0.162179,0.194231,44.3802
30,0.162498,0.195072,45.8201
31,0.162831,0.190063,45.4088
32,0.161743,0.190456,45.7873
33,0.161374,0.18666,44.7371
34,0.161724,0.183611,45.2871
35,0.16145,0.19084,45.329
36,0.160503,0.197109,45.2799
37,0.160683,0.198448,45.7641
38,0.160561,0.189881,44.565
39,0.160676,0.176689,45.1868
40,0.160509,0.188467,45.0642
