epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.375225,0.198774,9.0125
2,0.199925,0.204226,8.8688
3,0.189989,0.187391,8.628
4,0.183529,0.185638,8.6024
5,0.179399,0.186589,8.7518
6,0.17828,0.18108,8.7055
7,0.175391,0.183758,8.9579
8,0.173357,0.184546,8.5696
9,0.172368,0.184528,8.5668
10,0.170568,0.181532,8.4163
11,0.171014,0.189375,8.4016
12,0.170197,0.191136,8.3426
13,0.16795,0.187224,8.39
14,0.16818,0.194508,8.3166
15,0.167091,0.190771,8.2888
16,0.167542,0.179836,8.4118
17,0.166431,0.192286,8.3065
18,0.165877,0.184676,8.4442
19,0.165601,0.183183,8.2564
20,0.165598,0.191604,8.3689
21,0.164655,0.181575,8.4435
22,0.164916,0.178826,8.5673
23,0.164417,0.189451,8.5953
24,0.163254,0.182555,8.5713
25,0.163476,0.199298,8.3792
26,0.163668,0.192051,8.3702
27,0.163829,0.196875,8.5069
28,0.163701,0.186722,8.451
29,0.163751,0.191548,8.2816
30,0.162624,0.186422,8.7606
31,0.162482,0.17876,8.4353
32,0.162268,0.184458,8.2072
33,0.162557,0.186896,8.2353
34,0.162175,0.189299,8.2943
35,0.161705,0.182589,8.3755
36,0.161873,0.188171,8.4706
37,0.161781,0.18489,8.4929
38,0.160817,0.193771,8.7456
39,0.16204,0.194693,8.548
40,0.161525,0.198067,8.5536
