epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.391012,0.218038,20.3096
2,0.20624,0.199955,20.8107
3,0.189134,0.191057,20.9267
4,0.182414,0.191774,20.652
5,0.179278,0.188168,20.5561
6,0.174876,0.185913,20.5806
7,0.172835,0.191199,20.3943
8,0.17179,0.182777,20.941
9,0.169797,0.183753,20.8283
10,0.168756,0.196941,20.7093
11,0.168128,0.186506,20.5449
12,0.166658,0.187507,20.58
13,0.166896,0.180024,20.716
14,0.165529,0.179797,20.7456
15,0.165879,0.182519,20.5442
16,0.165142,0.18359,20.569
17,0.164375,0.178127,20.5243
18,0.164682,0.19489,20.5834
19,0.165551,0.188532,20.6597
20,0.163931,0.185444,20.9851
21,0.163306,0.195768,21.0818
22,0.163065,0.182678,20.8423
23,0.163715,0.194981,20.6809
24,0.162423,0.192158,20.4209
25,0.162797,0.18841,20.7918
26,0.16288,0.187242,20.8869
27,0.162432,0.194719,20.6964
28,0.161669,0.191598,20.4822
29,0.162209,0.190815,20.3804
30,0.162413,0.188023,20.1262
31,0.161847,0.190863,20.8443
32,0.160997,0.187646,20.9309
33,0.161431,0.19919,20.5981
34,0.161993,0.187366,20.3002
35,0.161457,0.195678,20.2524
36,0.162222,0.197381,20.3601
37,0.160398,0.185809,20.8294
38,0.160865,0.192729,20.6326
39,0.161667,0.186959,20.5254
40,0.160904,0.197201,20.6185
