epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.414935,0.194856,13.4749
2,0.200817,0.197554,13.6044
3,0.192437,0.186936,13.2522
4,0.185446,0.192423,13.3977
5,0.182786,0.185362,13.2318
6,0.178888,0.185007,13.3346
7,0.177086,0.182192,13.1719
8,0.17382,0.181656,13.3125
9,0.171591,0.187062,13.2665
10,0.170801,0.182694,13.5074
11,0.168054,0.178258,13.375
12,0.167449,0.1775,13.5227
13,0.166839,0.188203,13.4389
14,0.165439,0.188889,13.4634
15,0.166568,0.185728,13.441
16,0.165021,0.176937,13.0946
17,0.164178,0.18863,13.1072
18,0.164275,0.187773,13.2761
19,0.163808,0.194399,13.526
20,0.163238,0.18736,13.4906
21,0.162873,0.191916,13.5588
22,0.162483,0.188562,13.517
23,0.163807,0.180711,13.3832
24,0.162767,0.19025,13.1722
25,0.162564,0.198316,13.2103
26,0.161946,0.200153,13.1552
27,0.162583,0.195497,13.2289
28,0.161935,0.196557,13.5908
29,0.161192,0.192561,13.6727
30,0.161114,0.188028,13.6198
31,0.161626,0.18714,13.2428
32,0.161236,0.191123,13.1248
33,0.160862,0.187966,13.398
34,0.160698,0.190274,13.0891
35,0.160661,0.186393,13.2332
36,0.161016,0.193846,13.2118
37,0.160779,0.199003,13.4783
38,0.160795,0.186765,13.5887
39,0.160418,0.196169,13.5321
40,0.162132,0.199087,13.3374
