epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.392147,0.213057,15.6724
2,0.205948,0.198542,15.5828
3,0.192182,0.189964,15.6041
4,0.185168,0.191655,15.5561
5,0.180831,0.189039,16.1911
6,0.177281,0.18195,15.7457
7,0.173976,0.184096,15.9282
8,0.171587,0.179544,15.7126
9,0.169869,0.191385,15.7555
10,0.168112,0.185349,15.5694
11,0.166914,0.182732,15.4109
12,0.166206,0.190974,15.7675
13,0.166211,0.186777,15.901
14,0.165419,0.186139,15.7848
15,0.164436,0.180414,15.9587
16,0.164287,0.191557,15.6602
17,0.164254,0.185909,15.6487
18,0.163395,0.176342,15.4464
19,0.163129,0.1853,15.4851
20,0.16266,0.17181,15.7653
21,0.163404,0.201077,15.783
22,0.162857,0.191376,15.8765
23,0.162431,0.178643,15.6532
24,0.163141,0.185108,15.5659
25,0.162075,0.19297,15.6763
26,0.162002,0.194512,15.4657
27,0.161851,0.197957,15.6814
28,0.162181,0.187022,15.8149
29,0.161947,0.177247,16.0404
30,0.162066,0.181183,15.6773
31,0.162154,0.19962,15.792
32,0.160632,0.199391,15.6269
33,0.161395,0.187221,15.4614
34,0.162102,0.196833,15.6192
35,0.16214,0.191329,15.9432
36,0.160703,0.200871,16.1721
37,0.160144,0.190963,15.9431
38,0.16008,0.188767,15.7662
39,0.161501,0.190603,15.8208
40,0.160477,0.183598,15.4766
