epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.209971,0.031089,10.2264
2,0.023483,0.019876,10.1362
3,0.018644,0.017473,9.9806
4,0.016875,0.016186,10.1986
5,0.015762,0.015261,10.2333
6,0.014832,0.014937,10.6332
7,0.01435,0.014019,9.9979
8,0.013811,0.013373,9.7835
9,0.013384,0.01325,10.2319
10,0.01318,0.012823,10.2384
11,0.012856,0.012475,10.0613
12,0.012559,0.012342,9.9398
13,0.012398,0.012221,10.1343
14,0.012166,0.012163,9.9869
15,0.012107,0.01205,10.153
16,0.012009,0.011811,10.142
17,0.01182,0.012142,10.2067
18,0.011707,0.011541,10.0839
19,0.011572,0.01145,9.9354
20,0.011446,0.011325,10.2383
21,0.011516,0.011213,9.5089
22,0.011452,0.01155,9.9694
23,0.01128,0.011132,10.0195
24,0.011305,0.011329,10.1983
25,0.011242,0.011064,10.2446
26,0.011071,0.01088,9.9343
27,0.011029,0.010924,9.9324
28,0.010976,0.010796,10.1235
29,0.010844,0.010721,10.3283
30,0.010792,0.011025,10.1161
31,0.010694,0.010732,10.1573
32,0.010661,0.010474,9.9113
33,0.010596,0.010795,10.2616
34,0.010515,0.010513,10.2173
35,0.010518,0.010922,10.1972
36,0.010462,0.010588,10.1228
37,0.010327,0.010311,10.1501
38,0.010283,0.010149,10.315
39,0.010278,0.010144,10.383
40,0.010233,0.010021,10.1026
