epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.183813,0.030143,5.9332
2,0.024353,0.021678,6.1919
3,0.019677,0.019166,5.7205
4,0.017536,0.017237,5.9783
5,0.016134,0.0157,6.4103
6,0.015153,0.015305,6.6957
7,0.014445,0.01398,6.5962
8,0.013821,0.013858,6.4886
9,0.013397,0.013139,6.4508
10,0.013017,0.012853,6.6417
11,0.012775,0.012626,6.6568
12,0.012556,0.012428,6.6762
13,0.012384,0.012252,6.3314
14,0.012211,0.012066,6.1924
15,0.012082,0.012399,6.5844
16,0.012002,0.011784,6.59
17,0.011826,0.011708,6.5401
18,0.01176,0.011857,6.4071
19,0.011632,0.011552,6.3282
20,0.011566,0.011664,6.5044
21,0.011444,0.011243,6.7271
22,0.011318,0.011343,6.1447
23,0.01137,0.011273,6.0272
24,0.011202,0.011054,6.0533
25,0.011088,0.01126,6.6325
26,0.011073,0.01103,6.3948
27,0.010909,0.010869,5.9455
28,0.010902,0.010869,5.9385
29,0.010761,0.010729,5.578
30,0.01073,0.011108,5.7226
31,0.01061,0.01055,5.2353
32,0.010569,0.010383,5.958
33,0.01046,0.010367,5.7191
34,0.010401,0.010524,5.8133
35,0.010352,0.010404,5.8676
36,0.010336,0.010232,5.2598
37,0.010195,0.010489,5.4627
38,0.010222,0.010102,5.5844
39,0.01018,0.010273,5.4473
40,0.010038,0.010042,5.32
