epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.154944,0.027409,9.4243
2,0.022724,0.019958,9.7054
3,0.018424,0.017641,9.4054
4,0.016756,0.016479,9.3018
5,0.015618,0.015001,9.3785
6,0.014862,0.01455,9.8053
7,0.014226,0.013857,9.8235
8,0.013859,0.013405,9.5813
9,0.013374,0.013328,9.4374
10,0.01303,0.01266,9.4442
11,0.012613,0.012353,9.4932
12,0.012411,0.012098,9.3094
13,0.012194,0.011951,9.3781
14,0.012083,0.011814,9.091
15,0.011801,0.011548,8.7255
16,0.01171,0.011486,9.9021
17,0.011588,0.01139,9.6246
18,0.011542,0.011228,9.484
19,0.011308,0.01118,9.3119
20,0.0112,0.011106,9.7146
21,0.011149,0.011092,9.4885
22,0.011018,0.010877,9.5876
23,0.010859,0.010851,9.1964
24,0.010778,0.010666,9.5168
25,0.010705,0.010729,9.6045
26,0.010677,0.010414,9.4966
27,0.010503,0.010496,9.49
28,0.010493,0.010492,9.5454
29,0.010505,0.010384,9.4409
30,0.010415,0.010244,9.669
31,0.010322,0.010233,9.4976
32,0.010225,0.010182,9.4767
33,0.010264,0.010066,9.3464
34,0.010068,0.010223,9.4621
35,0.010201,0.010145,9.4895
36,0.010034,0.010175,9.5308
37,0.009979,0.010045,9.5478
38,0.009982,0.009857,9.2661
39,0.009966,0.010165,9.4947
40,0.009894,0.010089,9.5812
