epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.231922,0.029814,8.3042
2,0.024558,0.020709,8.3685
3,0.018724,0.017293,8.1915
4,0.01639,0.015378,8.0978
5,0.014872,0.01423,8.3239
6,0.013911,0.013624,8.1692
7,0.013436,0.013036,8.14
8,0.012937,0.012836,8.0398
9,0.012606,0.012482,8.1027
10,0.012321,0.012474,8.3006
11,0.012108,0.011877,8.4842
12,0.011904,0.011843,7.8466
13,0.011731,0.012524,8.0014
14,0.011716,0.011482,8.3811
15,0.01139,0.011747,8.2967
16,0.011344,0.011224,8.3916
17,0.011236,0.011338,8.2705
18,0.011108,0.011037,8.2011
19,0.01097,0.011001,7.9857
20,0.010814,0.011,8.3927
21,0.010693,0.010606,8.2969
22,0.010608,0.01064,8.0397
23,0.010543,0.010684,8.1117
24,0.010458,0.010659,8.4072
25,0.010365,0.010415,8.333
26,0.010283,0.010076,8.2055
27,0.01018,0.010336,8.0872
28,0.010239,0.010576,8.0784
29,0.010255,0.010368,8.3919
30,0.010013,0.009946,8.2295
31,0.009916,0.009805,8.3821
32,0.0099,0.00982,8.0125
33,0.009854,0.010066,8.3229
34,0.009847,0.009836,8.4625
35,0.009782,0.00967,8.3448
36,0.009826,0.009939,8.0124
37,0.009825,0.010168,8.0356
38,0.009637,0.009657,8.0991
39,0.009555,0.009648,8.3976
40,0.009655,0.009488,8.3776
