epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.223348,0.032351,7.6381
2,0.024623,0.020861,7.6466
3,0.019106,0.017944,7.7712
4,0.017002,0.016302,7.6412
5,0.015663,0.015237,7.6544
6,0.014766,0.014662,7.6409
7,0.01408,0.013671,8.0208
8,0.013541,0.013182,7.7988
9,0.013114,0.012964,7.4396
10,0.012793,0.012769,7.6814
11,0.012512,0.012384,7.5807
12,0.012256,0.012133,7.9173
13,0.012094,0.011947,8.0853
14,0.01193,0.011802,7.6025
15,0.011867,0.011918,7.3366
16,0.011705,0.011548,7.6543
17,0.011492,0.011475,7.2106
18,0.011479,0.011451,7.6786
19,0.01155,0.011214,7.4768
20,0.011247,0.011099,7.5569
21,0.011068,0.01099,7.5069
22,0.011037,0.010976,7.8392
23,0.010947,0.010835,7.6666
24,0.010833,0.010878,7.4928
25,0.010778,0.01071,7.5542
26,0.010731,0.010582,7.6499
27,0.010622,0.010757,7.2968
28,0.010709,0.010479,7.5418
29,0.010516,0.010949,7.273
30,0.010501,0.010434,7.6847
31,0.01035,0.010344,7.6557
32,0.010406,0.010651,7.817
33,0.010267,0.010282,7.5923
34,0.010213,0.010085,7.5285
35,0.010124,0.010403,7.7499
36,0.010181,0.010568,7.8212
37,0.010064,0.010178,7.6513
38,0.010093,0.010031,7.5099
39,0.010058,0.010123,7.5641
40,0.01005,0.009853,7.6149
