epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.178184,0.027046,8.6722
2,0.022008,0.019988,8.5974
3,0.018267,0.017441,8.9899
4,0.016392,0.015682,8.5263
5,0.015077,0.014523,8.3978
6,0.01402,0.013592,9.0999
7,0.013265,0.013148,8.9749
8,0.012666,0.012605,8.73
9,0.012285,0.012188,9.117
10,0.012034,0.011968,8.8925
11,0.011818,0.011631,8.6098
12,0.011555,0.011533,8.7317
13,0.011408,0.011329,9.018
14,0.011251,0.011224,8.9988
15,0.011209,0.011072,8.7358
16,0.011003,0.011247,8.5865
17,0.010973,0.010806,8.7717
18,0.010793,0.010696,9.0152
19,0.010756,0.01068,8.9281
20,0.010606,0.010891,8.6983
21,0.010592,0.010455,8.6152
22,0.010433,0.010386,8.8648
23,0.010378,0.010281,9.1301
24,0.010312,0.010253,8.9103
25,0.010176,0.010352,8.6313
26,0.010122,0.010267,8.805
27,0.010063,0.010001,8.7304
28,0.010101,0.010151,8.8183
29,0.009981,0.009906,8.8588
30,0.009909,0.009889,8.6385
31,0.00981,0.01003,8.7032
32,0.009751,0.009739,8.7863
33,0.009786,0.00983,9.0973
34,0.009731,0.009566,8.9998
35,0.009612,0.009609,8.9968
36,0.00961,0.010304,8.7594
37,0.009763,0.009475,9.0592
38,0.00953,0.009492,9.0205
39,0.009489,0.009433,8.7313
40,0.009484,0.00953,8.7196
